follower	followee	count
819992522109894658	842072478834909184	1
1020031177720147968	842072478834909184	1
720740954018291712	842072478834909184	1
1065295646863822848	842072478834909184	1
1721127212	842072478834909184	1
1088610966944780288	842072478834909184	1
50130164	842072478834909184	1
14186393	842072478834909184	1
994735599004389376	842072478834909184	1
2347915641	842072478834909184	1
284345360	842072478834909184	1
1092687435753054209	842072478834909184	1
707765278923337728	842072478834909184	1
887066222721994752	842072478834909184	1
234659757	842072478834909184	1
3001638185	842072478834909184	1
811336942478618624	842072478834909184	1
2745472088	842072478834909184	1
797709835752054784	842072478834909184	1
41700163	842072478834909184	1
4146895612	842072478834909184	1
1093074225672404992	842072478834909184	1
160009685	842072478834909184	1
1008394765380014080	842072478834909184	1
386785056	842072478834909184	1
157010330	842072478834909184	1
848271524658376705	842072478834909184	1
1086702567395115009	842072478834909184	1
1093182111111147520	842072478834909184	1
259269687	842072478834909184	1
259984320	842072478834909184	1
38014617	842072478834909184	1
717715797301272576	842072478834909184	1
4256313646	842072478834909184	1
1081535441000640512	842072478834909184	1
1018413190315536384	842072478834909184	1
95809518	842072478834909184	1
2213568979	842072478834909184	1
823241385985867777	842072478834909184	1
60205788	842072478834909184	1
1059530147949432832	842072478834909184	1
1086490038425341952	842072478834909184	1
1093017079551148034	842072478834909184	1
20025571	842072478834909184	1
401264554	842072478834909184	1
1093037526292455425	842072478834909184	1
2362698073	842072478834909184	1
470692075	842072478834909184	1
1090685117851303937	842072478834909184	1
68569603	842072478834909184	1
324560117	842072478834909184	1
994347255401533440	842072478834909184	1
978046066363916288	842072478834909184	1
326234419	842072478834909184	1
1079477231641116673	842072478834909184	1
103666242	842072478834909184	1
1206633840	842072478834909184	1
776508450746445824	842072478834909184	1
132999991	842072478834909184	1
858426398876237824	842072478834909184	1
608783028	842072478834909184	1
163968522	842072478834909184	1
826313385918631936	842072478834909184	1
1577827470	842072478834909184	1
773607192163414016	842072478834909184	1
45419725	842072478834909184	1
95031947	842072478834909184	1
1042898596830445568	842072478834909184	1
65777581	842072478834909184	1
477378817	842072478834909184	1
593244163	842072478834909184	1
1092913707489861633	842072478834909184	1
1065707946393419778	842072478834909184	1
808469274612432896	842072478834909184	1
1088248789763272704	842072478834909184	1
3544123154	842072478834909184	1
445540772	842072478834909184	1
93637779	842072478834909184	1
1092884477221720064	842072478834909184	1
970093720325500930	842072478834909184	1
67315064	842072478834909184	1
104261675	842072478834909184	1
1030179319572836360	842072478834909184	1
17916303	842072478834909184	1
780838111	842072478834909184	1
1082070821752000515	842072478834909184	1
760867125506564096	842072478834909184	1
2592070430	842072478834909184	1
1004421227111477248	842072478834909184	1
17764143	842072478834909184	1
80354984	842072478834909184	1
892152914575327234	842072478834909184	1
292244392	842072478834909184	1
934566874817347584	842072478834909184	1
2321801440	842072478834909184	1
1088437630637813762	842072478834909184	1
2835002325	842072478834909184	1
1083075389335965698	842072478834909184	1
1092779727486562304	842072478834909184	1
62708499	842072478834909184	1
3964421368	842072478834909184	1
2786677072	842072478834909184	1
1092731651371819013	842072478834909184	1
3029071939	842072478834909184	1
31010765	842072478834909184	1
1043757408290365441	842072478834909184	1
1092684680976125952	842072478834909184	1
1004374559708123136	842072478834909184	1
1077556720828788737	842072478834909184	1
38230415	842072478834909184	1
1049556727388143616	842072478834909184	1
985336928458428421	842072478834909184	1
4827392747	842072478834909184	1
1056381578811727872	842072478834909184	1
985337528659030016	842072478834909184	1
359627297	842072478834909184	1
60414719	842072478834909184	1
1734004554	842072478834909184	1
832182096	842072478834909184	1
3383234759	842072478834909184	1
4511838253	842072478834909184	1
823135078477864961	842072478834909184	1
886342792968101889	842072478834909184	1
44939756	842072478834909184	1
1081965891569549316	842072478834909184	1
1539583927	842072478834909184	1
343169718	842072478834909184	1
26165038	842072478834909184	1
2207736532	842072478834909184	1
116569469	842072478834909184	1
3589259611	842072478834909184	1
74311039	842072478834909184	1
75716273	842072478834909184	1
783261420200787968	842072478834909184	1
739611601	842072478834909184	1
847511722734698499	842072478834909184	1
1091107168206626816	842072478834909184	1
1092369592125661185	842072478834909184	1
4885352559	842072478834909184	1
1091467359557222400	842072478834909184	1
1091100078230695936	842072478834909184	1
817965532364361728	842072478834909184	1
66266772	842072478834909184	1
801531471764852736	842072478834909184	1
1092292797653241856	842072478834909184	1
925745997430513664	842072478834909184	1
919278331631210498	842072478834909184	1
831954076078374914	842072478834909184	1
1083081803357933569	842072478834909184	1
1056668195527016448	842072478834909184	1
17760353	842072478834909184	1
848358917197443072	842072478834909184	1
2151760764	842072478834909184	1
2716836568	842072478834909184	1
3294212529	842072478834909184	1
901592489420886020	842072478834909184	1
1092164810416914432	842072478834909184	1
1011974351363584000	842072478834909184	1
1087379731836796933	842072478834909184	1
1092120655817031681	842072478834909184	1
4916194391	842072478834909184	1
395404943	842072478834909184	1
252203783	842072478834909184	1
1083556003696783365	842072478834909184	1
4067627039	842072478834909184	1
1092044898092675072	842072478834909184	1
898683064309751809	842072478834909184	1
1079838859477876737	842072478834909184	1
1091800415677673472	842072478834909184	1
